operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.3278422,-58.9847258",,,,,55,55,,,,1,,http://bs-as-g-b-a-zona-norte.properati.com.ar/wxsv_venta_ph_bs-as-g-b-a-zona-norte
sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.599214,-58.363967",675000,USD,10234620,675000,,149,,4530.201342,,4,,http://puerto-madero.properati.com.ar/y4y2_venta_departamentos_puerto-madero_balcon_baulera_suite_gimnasio_jardin_lavadero_piscina_sum_terraza_toilette_vestidor_sauna_lujoso_garage_aire-acondicionado_losa-radiante_re-max-premium
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.44461,-58.894283",165000,USD,2501796,165000,120,120,1375,1375,,3,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/12o6j_venta_departamentos_pilar_jardin_piscina_terraza_toilette_garage_placard_blanco-propiedades_dii
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.564676,-58.45572",112000,USD,1698188.8,112000,,60,,1866.666667,1,2,,http://belgrano.properati.com.ar/116pr_venta_departamentos_belgrano_balcon_lavadero_patio_placard_re-max-central
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Belén de Escobar|,"-34.3290832,-58.7761281",68000,USD,1031043.2,68000,207,,328.5024155,,,,,http://belen-de-escobar.properati.com.ar/z3br_venta_galpon_escobar_dezorzi-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5098,-58.503",220000,USD,3335728,220000,0,87,,2528.735632,,,,http://olivos.properati.com.ar/12era_venta_departamentos_olivos_balcon_lavadero_parrinello
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,,540000,USD,8187696,540000,1143,450,472.4409449,1200,,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/oyuj_venta_casa_bs-as-g-b-a-zona-norte_elflein-maestra-ada_3800
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6297889,-58.6557659",,,,,,,,,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/xh1u_venta_casa_ituzaingo_suite_lavadero_piscina_garage_placard
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6468137,-58.562335",78000,USD,1182667.2,78000,35,35,2228.571429,2228.571429,,,,http://haedo.properati.com.ar/frjq_venta_departamento_haedo
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6188297,-58.4377788",76500,USD,1159923.6,76500,0,36,,2125,,2,1000,http://caballito.properati.com.ar/12ksf_venta_departamentos_caballito_balcon_lavadero_luminoso_placard_subte-linea-a_btc-propiedades_cr7
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,680000,USD,10310432,680000,581,341,1170.395869,1994.134897,,4,,http://nordelta.properati.com.ar/or6v_venta_casa_nordelta
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,105000,USD,1592052,105000,,39,,2692.307692,,2,,http://ramos-mejia.properati.com.ar/10yx3_venta_departamentos_ramos-mejia_balcon_lavadero_placard_arkanian-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5455955,-58.553692",120000,USD,1819488,120000,51,47,2352.941176,2553.191489,,2,,http://villa-ballester.properati.com.ar/115d0_venta_departamentos_villa-ballester_balcon_garage_placard_estrenar_matticoli-inmobiliaria_cd2
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|Villa Tesei|,"-34.608259,-58.6309912",,,,,242,127,,,,,,http://villa-tesei.properati.com.ar/10th1_venta_casa_villa-tesei_jardin_parrilla_garage_riquelme-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,540000,USD,8187696,540000,800,360,675,1500,,,,http://nordelta.properati.com.ar/xbef_venta_casa_nordelta_0
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5137966,-58.4747174",225000,USD,3411540,225000,75,75,3000,3000,,3,,http://olivos.properati.com.ar/am14_venta_departamento_olivos_juan-diaz-de-solis_1900
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.399279,-58.652808",550000,USD,8339320,550000,400,400,1375,1375,,,,http://nordelta.properati.com.ar/zsny_venta_casa_nordelta_suite_lavadero_parrilla_piscina_nucifora-propiedades_crq
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,"-34.47522,-58.556383",95000,USD,1440428,95000,,,,,,2,,http://beccar.properati.com.ar/idyq_venta_local_beccar
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.577168,-58.538654",90000,USD,1364616,90000,100,100,900,900,,3,,http://belgrano.properati.com.ar/zouu_venta_departamentos_belgrano_horacio-e-acosta_4tw
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.65227793,-58.6276431551",58000,USD,879419.2,58000,34,34,1705.882353,1705.882353,1,2,190,http://moron.properati.com.ar/ir0b_venta_departamento_moron
sell,apartment,|Argentina|Capital Federal|Colegiales|,"-34.571526029,-58.4556371704",159900,USD,2424467.76,159900,82,77,1950,2076.623377,,3,,http://colegiales.properati.com.ar/zpcd_venta_departamentos_colegiales_balcon_lavadero_toilette_hogarfe-inmobiliaria
sell,apartment,|Argentina|Capital Federal|Colegiales|,"-34.578688,-58.457358",123875,USD,1878242.3,123875,79,50,1568.037975,2477.5,,2,,http://colegiales.properati.com.ar/12sbf_venta_departamentos_colegiales_baulera_gimnasio_lavadero_parrilla_patio_terraza_garage_amenities_estrenar_exir
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.4465229,-58.6338743",155000,USD,2350172,155000,71,46,2183.098592,3369.565217,,2,,http://nordelta.properati.com.ar/zv2p_venta_departamentos_nordelta_suite_gimnasio_jardin_lavadero_piscina_sum_toilette_vestidor_vista_fuentes-propiedades_ctd
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.558069,-58.44759",,,,,,,,,,3,,http://belgrano.properati.com.ar/yzy2_venta_departamentos_belgrano_balcon_gimnasio_parrilla_piscina_sum_terraza_luminoso_kitchinete_garage_amenities_aire-acondicionado_korn-emprendimientos
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,"-34.3885154266,-58.757991042",350000,USD,5306840,350000,250,250,1400,1400,,4,,http://escobar.properati.com.ar/y3zd_venta_casa_escobar_suite_jardin_lavadero_piscina_terraza_luminoso_vista_aire-acondicionado_argovia
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.603732,-58.430385",93000,USD,1410103.2,93000,39,39,2384.615385,2384.615385,,1,,http://almagro.properati.com.ar/110ul_venta_departamentos_almagro_parrilla_piscina_electrogeno_pronin-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudadela|,"-34.6453063515,-58.5387464166",250000,USD,3790600,250000,467,250,535.3319058,1000,,,,http://ciudadela.properati.com.ar/11037_venta_casa_ciudadela_suite_jardin_garage_aire-acondicionado_acosta-negocios-inmobiliarios_cib
